State,LGA,Name,Population,Longitude,Latitude
South Australia,46670,Renmark Paringa,10173,140.8141216,-34.18226093
South Australia,46860,Robe,1611,139.9794493,-37.18767075
South Australia,46970,Roxby Downs,4089,136.8811864,-30.5543722
South Australia,47140,Salisbury,150272,138.6113066,-34.77264545
South Australia,47290,Southern Mallee,2012,140.5743585,-35.39390718
South Australia,47490,Streaky Bay,2278,134.5640365,-32.70890336
South Australia,47630,Tatiara,7071,140.584449,-36.22790792
South Australia,47700,Tea Tree Gully,104437,138.7180482,-34.80514807
South Australia,47800,Coorong,5614,139.7613185,-35.71379474
South Australia,47910,Tumby Bay,2948,136.0197055,-34.17932039
South Australia,47980,Unley,40327,138.6040395,-34.95478367
South Australia,48050,Victor Harbor,17124,138.5461687,-35.51277636
South Australia,48130,Wakefield,6985,138.3565123,-33.9914318
South Australia,48260,Walkerville,8562,138.6171167,-34.8927723
South Australia,48340,Wattle Range,12319,140.5188705,-37.47039707
South Australia,48410,West Torrens,65738,138.5438194,-34.94141751
South Australia,48540,Whyalla,21864,137.4943444,-33.03730554
South Australia,48640,Wudinna,1168,135.3146462,-33.02865043
South Australia,48750,Yankalilla,6186,138.3371004,-35.51857873
South Australia,48830,Yorke Peninsula,12150,137.5599497,-34.68369773
South Australia,49399,Unincorporated SA,3010,136.7745898,-29.5880273
Western Australia,50080,Albany,41545,118.1825849,-34.73911808
Western Australia,50210,Armadale,109218,116.1369888,-32.16751857
Western Australia,50250,Ashburton,8179,116.726255,-22.49363583
Western Australia,50280,Augusta Margaret River,19410,115.2278015,-34.03086388
Western Australia,50350,Bassendean,17145,115.9452318,-31.90383413
Western Australia,50420,Bayswater,75981,115.9078277,-31.90377552
Western Australia,50490,Belmont,47377,115.9483285,-31.95622026
Western Australia,50560,Beverley,1795,116.7965899,-32.17465105
Western Australia,50630,Boddington,1808,116.3999008,-32.81628288
Western Australia,50770,Boyup Brook,1959,116.5240409,-33.89175425
Western Australia,50840,Bridgetown-Greenbushes,5797,116.1910009,-34.00376755
Western Australia,50910,Brookton,962,117.0030997,-32.36198187
Western Australia,50980,Broome,18870,122.4636889,-18.67020478
Western Australia,51080,Broomehill-Tambellup,1101,117.6613291,-34.00249638
Western Australia,51120,Bruce Rock,1066,118.0286404,-31.95257604
Western Australia,51190,Bunbury,35174,115.6644049,-33.35163319
Western Australia,51260,Busselton,45003,115.3488707,-33.71843065
Western Australia,51310,Cambridge,32006,115.7864101,-31.93626527
Western Australia,51330,Canning,106944,115.9163617,-32.03688123
Western Australia,51400,Capel,19701,115.6357307,-33.53233722
Western Australia,51470,Carnamah,586,115.5778415,-29.77320988
Western Australia,51540,Carnarvon,5599,114.3910375,-24.34995148
Western Australia,51610,Chapman Valley,1698,115.0591367,-28.3223635
Western Australia,51680,Chittering,6753,116.0783468,-31.37438131
Other Territories,51710,Christmas Island,1865,105.6364804,-10.48534277
Western Australia,51750,Claremont,12671,115.7799868,-31.98013571
Western Australia,51820,Cockburn,135149,115.7929019,-32.11426741
Other Territories,51860,Cocos Islands,625,96.86227327,-12.1345674
Western Australia,51890,Collie,9408,116.2115768,-33.28354138
Western Australia,51960,Coolgardie,3779,120.9644729,-31.18677181
Western Australia,52030,Coorow,1125,115.759226,-30.02160291
Western Australia,52100,Corrigin,1039,117.7990397,-32.35835324
Western Australia,52170,Cottesloe,8967,115.7585068,-31.99398984
Western Australia,52240,Cranbrook,1152,117.2858834,-34.31480507
Western Australia,52310,Cuballing,955,117.1591847,-32.73539595
Western Australia,52380,Cue,229,117.9400509,-27.31080713
Western Australia,52450,Cunderdin,1316,117.1557303,-31.59956797
Western Australia,52520,Dalwallinu,1466,116.9447648,-30.12523333
Western Australia,52590,Dandaragan,3921,115.5060806,-30.53960031
Western Australia,52660,Dardanup,15930,115.8519255,-33.4154116
Western Australia,52730,Denmark,6707,117.1188389,-34.89047114
Western Australia,52800,Derby-West Kimberley,8536,124.9775171,-17.79104274
Western Australia,52870,Donnybrook-Balingup,6584,115.9735489,-33.66953968
Western Australia,52940,Dowerin,740,117.1112786,-31.10764289
Western Australia,53010,Dumbleyung,708,117.9645379,-33.22448796
Western Australia,53080,Dundas,723,124.4179531,-32.01131504
Western Australia,53150,East Fremantle,8361,115.7681782,-32.03792684
Western Australia,53220,East Pilbara,10403,123.5964967,-21.76844889
Western Australia,53290,Esperance,14558,122.2502913,-33.2219589
Western Australia,53360,Exmouth,3566,114.1670215,-22.5216767
